																		
Tissue  		Hydrogen	Carbon	Nitrogen	Oxygen	Sodium	Magnesium	Silicon	Phosphor	Sulfur	Chlorine	Argon	Potassium	Calcium 	Scandium	Iron 	Zinc	Iodine
 	Maximum	0.638600738	0.061321024	0.01060489	0.288192937	0.000538426			0.000199819	0.000193019	0.000349147							
Hypothalamus	Average	0.648490883	0.048318124	0.007850394	0.292850821	0.000531435			0.000591673	0.000381025	0.00051692		0.000468725					
 	Standard Deviation 	0	0	0	0	0			0	0	0		0					
 	Minimum	0.648490883	0.048318124	0.007850394	0.292850821	0.000531435			0.000591673	0.000381025	0.00051692		0.000468725					
 	Maximum	0.648490883	0.048318124	0.007850394	0.292850821	0.000531435			0.000591673	0.000381025	0.00051692		0.000468725					
Intervertebral Disc	Average	0.623111416	0.05392573	0.010275809	0.304227448	0.001422868			0.004646842	0.001836286	0.000553602							
 	Standard Deviation 	0	0.1416159	0	0	0			0	0	0							
 	Minimum	0.623111416	0.05392573	0.010275809	0.304227448	0.001422868			0.004646842	0.001836286	0.000553602							
 	Maximum	0.623111416	0.05392573	0.010275809	0.304227448	0.001422868			0.004646842	0.001836286	0.000553602							
Kidney	Average	0.634959125	0.068654066	0.013458708	0.28077533	0.000540561			0.000401222	0.000387568	0.000350531		0.000317849	0.00015504				
 	Standard Deviation 	0.004831144	0.014115543	0.001586254	0.010873424	1.14E-06			8.43E-07	8.15E-07	7.37E-07		6.68E-07	3.26E-07				
 	Minimum	0.630091866	0.054720674	0.011952034	0.269691911	0.000539398			0.000400359	0.000386734	0.000349777		0.000317166	0.000154706				
 	Maximum	0.639753325	0.082944968	0.015114071	0.291425827	0.000541669			0.000402045	0.000388362	0.000351249		0.000318501	0.000155358				
Kidney (Cortex)	Average	0.634959125	0.068654066	0.013458708	0.28077533	0.000540561			0.000401222	0.000387568	0.000350531		0.000317849	0.00015504				
 	Standard Deviation 	0.004831144	0.014115543	0.001586254	0.010873424	1.14E-06			8.43E-07	8.15E-07	7.37E-07		6.68E-07	3.26E-07				
 	Minimum	0.630091866	0.054720674	0.011952034	0.269691911	0.000539398			0.000400359	0.000386734	0.000349777		0.000317166	0.000154706				
 	Maximum	0.639753325	0.082944968	0.015114071	0.291425827	0.000541669			0.000402045	0.000388362	0.000351249		0.000318501	0.000155358				
Kidney (Medulla)	Average	0.634959125	0.068654066	0.013458708	0.28077533	0.000540561			0.000401222	0.000387568	0.000350531		0.000317849	0.00015504				
 	Standard Deviation 	0.004831144	0.014115543	0.001586254	0.010873424	1.14E-06			8.43E-07	8.15E-07	7.37E-07		6.68E-07	3.26E-07				
 	Minimum	0.630091866	0.054720674	0.011952034	0.269691911	0.000539398			0.000400359	0.000386734	0.000349777		0.000317166	0.000154706				
 	Maximum	0.639753325	0.082944968	0.015114071	0.291425827	0.000541669			0.000402045	0.000388362	0.000351249		0.000318501	0.000155358				
Large Intestine	Average	0.636502085	0.071391688	0.01277213	0.277992283	0.000268328			0.000199162	0.000384769	0.000174		0.000315554					
 	Standard Deviation 	0	0.1416159	0	0	0			0	0	0		0					
 	Minimum	0.636502085	0.071391688	0.01277213	0.277992283	0.000268328			0.000199162	0.000384769	0.000174		0.000315554					
 	Maximum	0.636502085	0.071391688	0.01277213	0.277992283	0.000268328			0.000199162	0.000384769	0.000174		0.000315554					
Liver	Average	0.632071038	0.072942295	0.013385261	0.27903697	0.000543397			0.000604991	0.000584402	0.00035237		0.000479276					
 	Standard Deviation 	0.001406807	0.007265751	0.00143922	0.007203606	4.12E-06			4.59E-06	4.43E-06	2.67E-06		3.63E-06					
 	Minimum	0.630609661	0.066020096	0.011948529	0.27158191	0.00053924			0.000600363	0.000579931	0.000349674		0.000475609					
 	Maximum	0.633416047	0.080508697	0.014826957	0.285959574	0.000547481			0.000609539	0.000588795	0.000355018		0.000482878					
Lung	Average	0.639184265	0.053385303	0.007098153	0.298059658	0.00052665	9.45E-05		0.000285354	0.000516375	0.000503648		0.000317994	7.00E-06		2.06E-05	5.00E-07	
 	Standard Deviation 	0.008553176	0.000408309	0.008189498	0.000142074	3.20E-05	0		0.000173035	0.000105182	4.33E-05		7.06E-06	0		0	0	
 	Minimum	0.633136	0.053096564	0.001307301	0.297959077	0.000504	0.000189		0.000163	0.000442	0.000473		0.000313	0.000014		0.0000412	0.000001	
 	Maximum	0.645232018	0.053674	0.012889	0.29816	0.000549299	0.000189		0.000407708	0.00059075	0.000534296		0.000322987	0.000014		0.0000412	0.000001	
Lung (Deflated)	Average	0.639184265	0.053385303	0.007098153	0.298059658	0.00052665	9.45E-05		0.000285354	0.000516375	0.000503648		0.000317994	7.00E-06		2.06E-05	5.00E-07	
 	Standard Deviation 	0.008553176	0.000408309	0.008189498	0.000142074	3.20E-05	0		0.000173035	0.000105182	4.33E-05		7.06E-06	0		0	0	
 	Minimum	0.633136	0.053096564	0.001307301	0.297959077	0.000504	0.000189		0.000163	0.000442	0.000473		0.000313	0.000014		0.0000412	0.000001	
 	Maximum	0.645232018	0.053674	0.012889	0.29816	0.000549299	0.000189		0.000407708	0.00059075	0.000534296		0.000322987	0.000014		0.0000412	0.000001	
Mandible	Average	0.433852878	0.135997538	0.032643135	0.299529614	0.000252944	0.000937516		0.036527707	0.001042566				0.059215102		0	1.00E-06	
 	Standard Deviation 	0.058744935	0.019930023	0.003155001	0.023588611	0	2.76E-05		0.003036981	6.44E-05				0.008595189		#DIV/0!	1.41E-06	
 	Minimum	0.392311116	0.121904	0.030412	0.282848	0.000505885	0.000918		0.03438	0.000997				0.053137		0	0	
 	Maximum	0.475389	0.150089308	0.034873846	0.316207334	0.000505885	0.000957019		0.03867494	0.001088119				0.065292433		0	0.000002	
Medulla Oblongata	Average	0.654712	0.062268	0.005654	0.274952	0.000477	0.000037		0.000682	0.000329	0.000397		0.000473	0.000013		0.000005	0.000001	
 	Standard Deviation 	0	0	0	0	0	0		0	0	0		0	0		0	7.07E-07	
 	Minimum	0.654712	0.062268	0.005654	0.274952	0.000477	0.000037		0.000682	0.000329	0.000397		0.000473	0.000013		0.000005	0.000001	
 	Maximum	0.654712	0.062268	0.005654	0.274952	0.000477	0.000037		0.000682	0.000329	0.000397		0.000473	0.000013		0.000005	0.000001	
Meniscus	Average	0.623111416	0.05392573	0.010275809	0.304227448	0.001422868			0.004646842	0.001836286	0.000553602							
 	Standard Deviation 	0	0.1416159	0	0	0			0	0	0							
 	Minimum	0.623111416	0.05392573	0.010275809	0.304227448	0.001422868			0.004646842	0.001836286	0.000553602							
 	Maximum	0.623111416	0.05392573	0.010275809	0.304227448	0.001422868			0.004646842	0.001836286	0.000553602							
Midbrain	Average	0.654712	0.062268	0.005654	0.274952	0.000477	0.000037		0.000682	0.000329	0.000397		0.000473	0.000013		0.000005	0.000001	
 	Standard Deviation 	0	0	0	0	0	0		0	0	0		0	0		0	7.07E-07	
 	Minimum	0.654712	0.062268	0.005654	0.274952	0.000477	0.000037		0.000682	0.000329	0.000397		0.000473	0.000013		0.000005	0.000001	
 	Maximum	0.654712	0.062268	0.005654	0.274952	0.000477	0.000037		0.000682	0.000329	0.000397		0.000473	0.000013		0.000005	0.000001	
Muscle	Average	0.631286342	0.068516135	0.014553224	0.283624003	0.000248016	2.00E-05		0.00039649	0.000641266	0.000134039		0.000577485	1.00E-06		1.00E-06	1.00E-06	
 	Standard Deviation 	0.002903477	0.013365895	0.001530672	0.012530881	3.32E-05	1.41E-06		1.65E-05	0.000193103	1.77E-05		8.54E-05	0		0	0	
 	Minimum	0.626637212	0.056732	0.012488	0.266178457	0.000206	0.000049		0.000367	0.000475	0.000141		0.00048	0.000005		0.000005	0.000005	
