,lambda,mu_a_water,mu_a_skull
380,6549098.325755464,132.0953870649103,39.628616119473094
381,6703205.301877682,133.69551519224026,40.108654557672075
382,6860938.572629839,134.79838685382433,40.4395160561473
383,7022383.46843027,135.54617819628675,40.663853458886024
384,7187627.327609252,136.03181770870825,40.80954531261247
385,7356759.543657269,136.31813024510132,40.89543907353039
386,7529871.613584943,136.44886783693272,40.93466035107981
387,7707057.1874210555,136.4553067274234,40.93659201822702
388,7888412.118875314,136.3603284258213,40.90809852774639
389,8074034.517193117,136.1810222958198,40.854306688745936
390,8264024.80023067,135.93039121476872,40.77911736443061
391,8458485.748778999,135.61849714473402,40.685549143420204
392,8657522.562166125,135.2532476839408,40.575974305182235
393,8861242.915167756,134.84094696261667,40.452284088785
394,9069757.016257165,134.38668849067153,40.31600654720146
395,9283177.667225566,133.8946399073189,40.168391972195664
396,9501620.324205589,133.36825246002996,40.010475738008985
397,9725203.160130708,132.81041720383973,39.84312516115192
398,9954047.128664229,132.22358291404382,39.66707487421314
399,10188276.029632773,131.60984610119797,39.48295383035939
400,10428016.57599937,130.9710204356721,39.29130613070163
401,10673398.462412627,130.3086907932985,39.09260723798955
402,10924554.435368676,129.62425568726596,38.88727670617978
403,11181620.365024447,128.9189608393666,38.67568825180998
404,11444735.318700442,128.19392592646284,38.45817777793885
405,11714041.636113347,127.45016602360424,38.23504980708127
406,11989685.006378818,126.68860889210454,38.00658266763136
407,12271814.546826353,125.91010898738983,37.77303269621695
408,12560582.883668495,125.1154588589702,37.53463765769106
409,12856146.23456864,124.30539846359083,37.291619539077246
410,13158664.493151367,123.4806227985679,37.044186839570365
411,13468301.315501658,122.6417881755962,36.79253645267886
412,13785224.208699392,121.7895173888649,36.53685521665947
413,14109604.621437293,120.92440397999438,36.27732119399831
414,14441618.036770944,120.04701576238853,36.01410472871655
415,14781444.067051552,119.15789773631832,35.747369320895494
416,15129266.551092584,118.25757450139074,35.477272350417216
417,15485273.653622556,117.34655225347666,35.203965676043
418,15849657.967078341,116.42532043753376,34.927596131260124
419,16222616.615793748,115.49435311519444,34.64830593455833
420,16604351.362639507,114.5541100958373,34.36623302875119
421,16995068.718172878,113.60503787160472,34.08151136148142
422,17394980.05235567,112.6475703900938,33.79427111702814
423,17804301.708900787,111.68212969291116,33.50463890787335
424,18223255.122309778,110.7091264437195,33.21273793311585
425,18652066.9376644,109.72896036562112,32.918688109686336
426,19090969.133236695,108.7420206045783,32.62260618137349
427,19540199.145984497,107.7486860329413,32.324605809882385
428,20000000.000000004,106.74932550495224,32.02479765148567
